id,sexo,zona,macrozona,region,edad,p1_anyo,p1_mes,p2,p3,p4,p5,p6,p7,p8,p9_1,p9_2,p9_3,p9_4,p9_5
1497,1,1,2,7,50,1965,12,1,2,1,NA,8,8,9,9,9,7,9,10
1529,2,1,3,9,87,1928,5,5,3,NA,NA,7,7,10,10,10,10,9,8
1532,2,2,4,13,73,1943,2,7,1,1,NA,4,7,10,10,10,10,10,10
1535,2,2,4,13,56,1960,1,7,2,1,NA,8,10,5,5,5,10,10,5
1536,2,2,4,13,55,1960,5,1,1,1,NA,10,10,10,10,10,10,10,10
1565,2,1,2,6,49,1967,1,1,2,1,NA,8,10,10,9,9,10,6,10
1584,1,2,2,5,28,1987,5,5,3,NA,NA,5,9,10,10,10,10,10,10
1590,2,2,3,9,22,1994,1,5,3,NA,NA,7,7,4,4,10,9,10,10
1593,2,1,3,9,64,1951,6,1,2,1,NA,9,8,10,10,10,8,8,7
1599,2,2,4,13,23,1992,11,5,3,NA,NA,8,8,6,9,6,8,6,9
1607,1,2,4,13,45,1970,9,4,2,2,3,7,8,9,9,8,8,9,9
1611,1,2,4,13,31,1984,7,8,3,NA,NA,10,10,10,8,9,8,10,9
1614,2,2,4,13,55,1960,7,1,2,1,NA,9,7,9,9,9,8,8,9
1626,1,2,4,13,27,1988,11,8,3,NA,NA,10,9,9,10,8,10,9,10
1633,1,2,4,13,21,1994,4,5,3,NA,NA,7,8,6,8,9,7,7,10
1654,2,2,4,13,58,1957,6,1,1,1,NA,5,5,8,8,8,7,7,8
1664,2,1,2,7,57,1959,4,1,1,1,NA,7,7,8,7,8,8,8,7
1673,2,2,3,11,25,1990,12,8,1,1,NA,5,4,10,10,10,10,10,10
1686,2,2,4,13,18,1997,5,5,3,NA,NA,9,8,9,10,8,9,9,8
1695,1,2,4,13,51,1964,6,1,1,1,NA,10,10,10,9,8,10,9,10
1705,1,2,4,13,79,1937,3,7,1,1,NA,8,7,10,10,10,10,10,10
1712,2,2,3,9,51,1965,4,1,1,2,2,7,4,9,10,10,5,7,4
1714,2,2,3,9,31,1985,4,5,3,NA,NA,10,10,10,10,10,10,8,8
1737,1,2,3,8,41,1975,3,1,1,3,1,10,10,10,10,10,10,10,8
1756,2,2,4,13,22,1994,1,5,3,NA,NA,9,8,9,7,10,6,6,7
1758,2,2,4,13,18,1997,12,5,3,NA,NA,10,7,7,7,10,5,5,8
1764,1,2,4,13,22,1994,2,5,2,1,NA,6,7,9,10,10,8,7,8
1769,2,2,2,5,49,1966,12,8,3,NA,NA,10,9,7,8,7,8,7,8
1779,1,2,1,3,29,1986,6,8,1,2,2,9,9,4,4,5,4,5,5
1786,2,2,1,3,55,1960,12,1,2,1,NA,7,9,9,8,8,8,8,8
1813,2,2,1,2,29,1987,3,8,3,NA,NA,7,9,7,6,7,5,8,9
1816,2,2,1,2,24,1991,7,8,1,2,2,7,8,7,8,9,6,7,8
1849,2,2,3,8,59,1957,4,3,1,2,1,10,9,10,10,10,10,10,10
1850,2,2,3,8,60,1956,3,1,1,1,NA,7,8,10,8,10,8,10,7
1851,2,2,3,8,74,1941,8,5,1,1,NA,8,5,8,5,5,7,8,6
1852,1,2,3,8,72,1943,10,8,1,1,NA,10,10,10,10,10,10,8,10
1888,1,2,1,2,51,1964,11,6,3,NA,NA,10,10,4,2,2,2,2,2
1901,1,2,4,13,51,1965,3,1,1,3,3,8,8,10,5,10,5,6,5
1904,1,1,2,7,54,1961,12,2,1,2,1,10,9,10,10,10,10,10,10
1910,2,1,2,5,71,1944,6,5,2,1,NA,8,7,8,8,8,10,6,8
